Replica,Semilla,Funcion Objetivo,% Entregados con SLA,Violaciones SLA,Violaciones Cap. Vuelo,Violaciones Cap. Almacen,Sin Ruta,Tiempo Total (h),Hops Promedio,Tiempo Computo (s)
1,1,4835846.93,100.00,0,0,0,0,135846.93,1.09,19825
2,2,4785750.78,100.00,0,0,0,0,135750.78,1.09,23630
3,3,4635730.50,100.00,0,0,0,0,135730.50,1.09,23870
4,4,4885807.28,100.00,0,0,0,0,135807.28,1.09,22778
5,5,4640855.02,99.98,2,0,0,0,135788.35,1.09,21768
6,6,4988281.07,99.99,1,0,0,0,135764.40,1.09,21933
7,7,4638385.63,99.99,1,0,0,0,135835.63,1.09,22255
8,8,4588650.80,99.84,18,0,0,0,143739.13,1.22,28427
9,9,4888326.33,99.99,1,0,0,0,135809.67,1.09,22423
10,10,4840944.30,99.98,2,0,0,0,135837.63,1.09,21363
11,11,4338203.93,99.84,18,0,0,0,143198.93,1.22,28878
12,12,4237603.03,99.84,18,0,0,0,142533.03,1.22,25331
13,13,4738318.35,99.99,1,0,0,0,135801.68,1.09,22368
14,14,4742751.90,99.82,20,0,0,0,143058.57,1.22,36816
15,15,4798260.82,99.99,1,1,0,0,135847.48,1.09,22822
16,16,4685846.48,100.00,0,0,0,0,135846.48,1.09,21257
17,17,4785808.20,100.00,0,0,0,0,135808.20,1.09,21062
18,18,4685837.98,100.00,0,0,0,0,135837.98,1.09,22735
19,19,4538201.28,99.99,1,0,0,0,135789.62,1.09,22734
20,20,4785792.13,100.00,0,0,0,0,135792.13,1.09,23361
21,21,4835763.13,100.00,0,0,0,0,135763.13,1.09,22509
22,22,4735774.77,100.00,0,0,0,0,135774.77,1.09,22521
23,23,4940887.27,99.98,2,0,0,0,135743.93,1.09,21263
24,24,4738341.50,99.84,18,0,0,0,143444.83,1.21,33506
25,25,4635793.30,100.00,0,0,0,0,135793.30,1.09,23407
26,26,4888256.40,99.99,1,0,0,0,135791.40,1.09,22610
27,27,4785771.12,100.00,0,0,0,0,135771.12,1.09,24563
28,28,4882187.25,99.85,16,0,0,0,142353.92,1.21,35502
29,29,4748457.80,99.99,1,0,0,1,135867.80,1.09,22966
30,30,4838314.82,99.99,1,0,0,0,135794.82,1.09,22637
