Replica,Semilla,Funcion Objetivo,% Entregados con SLA,Violaciones SLA,Violaciones Cap. Vuelo,Violaciones Cap. Almacen,Sin Ruta,Tiempo Total (h),Hops Promedio,Tiempo Computo (s)
1,1,2087598.30,99.62,76,0,0,0,249764.97,1.12,63064
2,2,2087598.30,99.62,76,0,0,0,249764.97,1.12,61739
3,3,2087598.30,99.62,76,0,0,0,249764.97,1.12,63558
4,4,2087598.30,99.62,76,0,0,0,249764.97,1.12,64611
5,5,2087598.30,99.62,76,0,0,0,249764.97,1.12,62991
6,6,2087598.30,99.62,76,0,0,0,249764.97,1.12,61892
7,7,2087598.30,99.62,76,0,0,0,249764.97,1.12,61845
8,8,2087598.30,99.62,76,0,0,0,249764.97,1.12,61593
9,9,2087598.30,99.62,76,0,0,0,249764.97,1.12,61778
10,10,2084400.85,99.36,129,0,0,0,256030.85,1.17,95801
11,11,2087598.30,99.62,76,0,0,0,249764.97,1.12,57013
12,12,2087598.30,99.62,76,0,0,0,249764.97,1.12,57933
13,13,2087598.30,99.62,76,0,0,0,249764.97,1.12,52375
14,14,2087598.30,99.62,76,0,0,0,249764.97,1.12,49369
15,15,2087598.30,99.62,76,0,0,0,249764.97,1.12,53880
16,16,2087598.30,99.62,76,0,0,0,249764.97,1.12,64238
17,17,2087598.30,99.62,76,0,0,0,249764.97,1.12,58041
18,18,2087598.30,99.62,76,0,0,0,249764.97,1.12,63873
19,19,2087598.30,99.62,76,0,0,0,249764.97,1.12,62640
20,20,2087598.30,99.62,76,0,0,0,249764.97,1.12,62384
21,21,2086206.80,99.40,121,0,0,0,256311.80,1.17,77160
22,22,2087598.30,99.62,76,0,0,0,249764.97,1.12,62877
23,23,2087598.30,99.62,76,0,0,0,249764.97,1.12,62449
24,24,2087598.30,99.62,76,0,0,0,249764.97,1.12,62756
25,25,2087598.30,99.62,76,0,0,0,249764.97,1.12,62354
26,26,2087598.30,99.62,76,0,0,0,249764.97,1.12,61873
27,27,2087598.30,99.62,76,0,0,0,249764.97,1.12,61694
28,28,2087598.30,99.62,76,0,0,0,249764.97,1.12,61544
29,29,2087598.30,99.62,76,0,0,0,249764.97,1.12,60616
30,30,2087598.30,99.62,76,0,0,0,249764.97,1.12,62496
