Replica,Semilla,Funcion Objetivo,% Entregados con SLA,Violaciones SLA,Violaciones Cap. Vuelo,Violaciones Cap. Almacen,Sin Ruta,Tiempo Total (h),Hops Promedio,Tiempo Computo (s)
1,1,1000000.00,100.00,0,0,0,1,48483.10,1.04,23421
2,2,1000000.00,100.00,0,0,0,1,48562.88,1.04,22208
3,3,1000000.00,100.00,0,0,0,1,48564.77,1.04,23260
4,4,1000000.00,100.00,0,0,0,1,48477.82,1.04,21699
5,5,1000000.00,100.00,0,0,0,1,48607.12,1.03,22263
6,6,1000000.00,100.00,0,0,0,1,48423.25,1.04,23272
7,7,1000000.00,100.00,0,0,0,1,48502.05,1.04,22810
8,8,1000000.00,100.00,0,0,0,1,48501.35,1.04,23320
9,9,1000000.00,100.00,0,0,0,1,48519.55,1.04,21790
10,10,1000000.00,100.00,0,0,0,1,48539.65,1.04,22171
11,11,1000000.00,100.00,0,0,0,1,48373.55,1.04,21574
12,12,1000000.00,100.00,0,0,0,1,48485.98,1.04,22473
13,13,1000000.00,100.00,0,0,0,1,48506.42,1.04,22928
14,14,1000000.00,100.00,0,0,0,1,48487.60,1.04,22262
15,15,1000000.00,100.00,0,0,0,1,48472.62,1.04,22230
16,16,1000000.00,100.00,0,0,0,1,48596.98,1.04,22283
17,17,1000000.00,100.00,0,0,0,1,48493.60,1.04,21997
18,18,1000000.00,100.00,0,0,0,1,48502.02,1.04,30145
19,19,1000000.00,100.00,0,0,0,1,48604.33,1.04,22767
20,20,1000000.00,100.00,0,0,0,1,48550.57,1.04,22442
21,21,1000000.00,100.00,0,0,0,1,48617.87,1.03,22331
22,22,1000000.00,100.00,0,0,0,1,48525.58,1.04,22292
23,23,1000000.00,100.00,0,0,0,1,48464.30,1.04,23072
24,24,1000000.00,100.00,0,0,0,1,48493.68,1.04,22871
25,25,1000000.00,100.00,0,0,0,1,48387.33,1.04,22316
26,26,1000000.00,100.00,0,0,0,1,48595.27,1.03,22889
27,27,1000000.00,100.00,0,0,0,1,48482.72,1.04,22367
28,28,1000000.00,100.00,0,0,0,1,48333.33,1.04,22540
29,29,1000000.00,100.00,0,0,0,1,48549.80,1.04,22291
30,30,1000000.00,100.00,0,0,0,1,48463.22,1.04,21329
