Replica,Semilla,Funcion Objetivo,% Entregados con SLA,Violaciones SLA,Violaciones Cap. Vuelo,Violaciones Cap. Almacen,Sin Ruta,Tiempo Total (h),Hops Promedio,Tiempo Computo (s)
1,1,12097408.75,100.00,0,150,18,0,97408.75,1.04,20559
2,2,12097528.60,100.00,0,150,18,0,97528.60,1.04,20977
3,3,12097674.45,100.00,0,150,18,0,97674.45,1.04,21317
4,4,12097404.25,100.00,0,150,18,0,97404.25,1.04,21346
5,5,12097376.43,100.00,0,150,18,0,97376.43,1.04,21559
6,6,12097426.87,100.00,0,150,18,0,97426.87,1.05,21492
7,7,12097324.32,100.00,0,150,18,0,97324.32,1.04,22066
8,8,12147328.58,100.00,0,151,18,0,97328.58,1.04,23992
9,9,12097403.98,100.00,0,150,18,0,97403.98,1.04,24421
10,10,12097306.70,100.00,0,150,18,0,97306.70,1.04,25149
