Replica,Semilla,Funcion Objetivo,% Entregados con SLA,Violaciones SLA,Violaciones Cap. Vuelo,Violaciones Cap. Almacen,Sin Ruta,Tiempo Total (h),Hops Promedio,Tiempo Computo (ms)
1,1,347396034.98,100.00,0,3463,1976,0,196034.98,1.05,49923
2,2,346246521.90,100.00,0,3460,1983,0,196521.90,1.05,48217
3,3,345996466.47,100.00,0,3459,1973,0,196466.47,1.05,87183
4,4,346196624.90,100.00,0,3468,1966,0,196624.90,1.05,136560
5,5,347096366.78,100.00,0,3477,1968,0,196366.78,1.05,69484
6,6,346846577.40,100.00,0,3450,1984,0,196577.40,1.05,50259
7,7,347546271.60,100.00,0,3470,1986,0,196271.60,1.05,51946
8,8,344646427.08,100.00,0,3443,1957,0,196427.08,1.05,108760
9,9,345096339.10,100.00,0,3446,1964,0,196339.10,1.05,48856
10,10,345046268.77,100.00,0,3465,1980,0,196268.77,1.05,50464
11,11,346646047.43,100.00,0,3462,1972,0,196047.43,1.05,53451
12,12,346496262.88,100.00,0,3467,1982,0,196262.88,1.05,54638
13,13,347896569.90,100.00,0,3472,1988,0,196569.90,1.05,55552
14,14,345746438.12,100.00,0,3462,1978,0,196438.12,1.05,62435
15,15,345946440.77,100.00,0,3473,1970,0,196440.77,1.05,48662
16,16,346046702.98,100.00,0,3445,1970,0,196702.98,1.05,48727
17,17,347046587.57,100.00,0,3463,1974,0,196587.57,1.05,49084
18,18,345446273.07,100.00,0,3453,1974,0,196273.07,1.05,49334
19,19,347396196.00,100.00,0,3473,1966,0,196196.00,1.05,50633
20,20,345246212.65,100.00,0,3459,1977,0,196212.65,1.05,48710
21,21,345196352.85,100.00,0,3449,1967,0,196352.85,1.05,48207
22,22,346896327.55,100.00,0,3462,1990,0,196327.55,1.05,48773
23,23,347646286.43,100.00,0,3454,1988,0,196286.43,1.05,48277
24,24,346496246.62,100.00,0,3443,1972,0,196246.62,1.05,50073
25,25,349096163.70,100.00,0,3487,1985,0,196163.70,1.05,50321
26,26,346696477.95,100.00,0,3461,1980,0,196477.95,1.05,53131
27,27,344846320.62,100.00,0,3450,1977,0,196320.62,1.05,55739
28,28,346996421.98,100.00,0,3451,1980,0,196421.98,1.05,56215
29,29,345596380.27,100.00,0,3464,1966,0,196380.27,1.05,57180
30,30,346396609.43,100.00,0,3471,1977,0,196609.43,1.05,56585
